ride_id,user_id,driver_id,pickup_location,drop_location,fare,distance_km,ride_time,user_name,driver_name
abf7164e,U1271,D2201,Koramangala,BTM,254.82,3.62,08-04-2023 09:35,User_271,Driver_201
59e68666,U1393,D2099,MG Road,Hebbal,80.09,15.96,27-02-2023 20:06,User_393,Driver_99
14b232fb,U1443,D2052,Whitefield,Jayanagar,57.27,12.67,22-01-2023 18:03,User_443,Driver_52
835c6ed8,U1087,D2276,Koramangala,Marathahalli,114.67,8.51,22-01-2023 19:35,User_87,Driver_276
3b8882bd,U1019,D2129,Indiranagar,Electronic City,193.02,7.24,26-05-2023 06:21,User_19,Driver_129
10361dd0,U1103,D2077,Whitefield,BTM,199.73,2.69,15-05-2023 21:40,User_103,Driver_77
67109360,U1373,D2034,Koramangala,Electronic City,213.31,5.23,20-02-2023 15:42,User_373,Driver_34
a9e38181,U1373,D2174,MG Road,Jayanagar,253.54,7.06,02-01-2023 05:13,User_373,Driver_174
64409548,U1418,D2213,Koramangala,Hebbal,215.33,9.68,10-05-2023 05:32,User_418,Driver_213
7f684af3,U1340,D2073,Whitefield,Electronic City,262.58,14.29,11-03-2023 08:20,User_340,Driver_73
06afd116,U1351,D2071,Whitefield,BTM,73.25,2.78,29-03-2023 17:20,User_351,Driver_71
9ec9d77b,U1300,D2299,Koramangala,Jayanagar,87.69,10.78,13-05-2023 21:49,User_300,Driver_299
392cb0d3,U1005,D2292,Koramangala,Hebbal,149.59,10.62,29-05-2023 02:06,User_5,Driver_292
a43e809a,U1187,D2136,Whitefield,Marathahalli,212.96,13.11,09-06-2023 02:55,User_187,Driver_136
e5d3925d,U1252,D2096,Whitefield,Hebbal,194.7,2.23,22-01-2023 03:20,User_252,Driver_96
9c73da1f,U1488,D2012,Koramangala,BTM,285.79,11.86,24-02-2023 23:45,User_488,Driver_12
550edaee,U1067,D2035,MG Road,BTM,137.83,17.2,07-03-2023 08:59,User_67,Driver_35
e0d1df55,U1140,D2282,Indiranagar,BTM,240.14,6.54,13-06-2023 13:38,User_140,Driver_282
8d8aa972,U1050,D2086,Indiranagar,Marathahalli,166.22,7.82,21-03-2023 02:22,User_50,Driver_86
cbd80a6d,U1416,D2010,HSR,Hebbal,105.18,11.18,18-02-2023 04:30,User_416,Driver_10
6363af6d,U1215,D2136,Koramangala,Electronic City,279.64,15.16,04-05-2023 19:11,User_215,Driver_136
da13480e,U1123,D2154,Whitefield,Jayanagar,278.61,15.81,21-02-2023 12:35,User_123,Driver_154
a9576cb7,U1208,D2048,Koramangala,Hebbal,30.43,17.1,18-04-2023 03:31,User_208,Driver_48
ded77ffb,U1036,D2259,Whitefield,Electronic City,89.48,4.75,13-01-2023 16:29,User_36,Driver_259
d1748a2f,U1045,D2136,MG Road,Jayanagar,83.7,8.48,12-02-2023 15:49,User_45,Driver_136
c9ecf9cc,U1126,D2061,MG Road,Jayanagar,47.89,11.09,15-06-2023 20:45,User_126,Driver_61
c049edd7,U1231,D2218,HSR,BTM,111.42,3.17,05-04-2023 23:01,User_231,Driver_218
df8928ac,U1437,D2066,Indiranagar,Hebbal,94.68,9.23,03-06-2023 06:31,User_437,Driver_66
5eaa832f,U1493,D2268,Indiranagar,Marathahalli,215.58,11.2,24-06-2023 14:35,User_493,Driver_268
a29e607e,U1246,D2210,HSR,Marathahalli,207.85,7.57,01-03-2023 13:07,User_246,Driver_210
b91b4567,U1004,D2110,Indiranagar,Jayanagar,182.63,16.41,13-02-2023 03:12,User_4,Driver_110
9e1fc024,U1022,D2286,Koramangala,Hebbal,33.82,15.89,24-01-2023 21:54,User_22,Driver_286
2354e11b,U1465,D2038,Koramangala,BTM,101.2,3.45,26-03-2023 07:59,User_465,Driver_38
4ca349cc,U1203,D2089,Indiranagar,Electronic City,156.35,4.93,09-04-2023 02:47,User_203,Driver_89
460b85d8,U1471,D2254,MG Road,Hebbal,210.41,11.48,15-01-2023 09:18,User_471,Driver_254
3ec17516,U1298,D2220,HSR,Electronic City,32.67,12.18,05-01-2023 17:31,User_298,Driver_220
ab34fbce,U1368,D2007,HSR,Electronic City,182.44,13.33,10-03-2023 06:03,User_368,Driver_7
04e6b82f,U1239,D2013,Whitefield,BTM,139.61,12.61,02-06-2023 11:40,User_239,Driver_13
d01f26f9,U1216,D2199,Indiranagar,Hebbal,54.46,4.78,20-02-2023 16:57,User_216,Driver_199
b7e44432,U1497,D2119,Koramangala,Hebbal,40.99,3.29,03-05-2023 18:21,User_497,Driver_119
4cc37c44,U1090,D2236,Koramangala,Marathahalli,242.55,19.23,13-01-2023 04:55,User_90,Driver_236
72b51950,U1447,D2145,HSR,Marathahalli,113.88,12.72,06-03-2023 11:35,User_447,Driver_145
a3b09452,U1089,D2212,Indiranagar,Electronic City,209.36,2.33,12-04-2023 05:35,User_89,Driver_212
7bb16ed2,U1429,D2077,Whitefield,BTM,230.25,18.88,21-05-2023 14:18,User_429,Driver_77
ee591061,U1023,D2066,Whitefield,Hebbal,186.64,8.1,29-05-2023 02:00,User_23,Driver_66
ad222ee7,U1315,D2126,MG Road,Marathahalli,290.57,3.16,16-03-2023 05:55,User_315,Driver_126
c9148076,U1413,D2274,HSR,Hebbal,292.16,3.77,28-02-2023 16:58,User_413,Driver_274
be4fe500,U1248,D2028,Koramangala,Marathahalli,63.74,9.39,19-06-2023 13:42,User_248,Driver_28
11e0a770,U1389,D2192,Indiranagar,BTM,98.36,17.65,18-01-2023 23:58,User_389,Driver_192
abf68108,U1427,D2029,HSR,BTM,245.36,15.61,23-04-2023 01:13,User_427,Driver_29
e2d2e98d,U1136,D2083,Whitefield,Jayanagar,111.98,8.66,10-04-2023 18:08,User_136,Driver_83
dd520ec0,U1327,D2204,Whitefield,Hebbal,176.67,16.94,03-05-2023 06:12,User_327,Driver_204
44310102,U1324,D2214,Whitefield,Marathahalli,41.62,4.78,31-01-2023 02:26,User_324,Driver_214
b40f7449,U1087,D2209,Whitefield,Jayanagar,209.62,14.93,10-02-2023 07:07,User_87,Driver_209
2f3a3582,U1187,D2153,MG Road,BTM,180.46,15.6,17-02-2023 16:32,User_187,Driver_153
8dbf55f6,U1344,D2230,HSR,Electronic City,88.99,12.67,30-03-2023 19:59,User_344,Driver_230
fe135293,U1282,D2191,MG Road,Electronic City,31.26,6.11,18-05-2023 02:16,User_282,Driver_191
f052b7a1,U1435,D2271,HSR,Electronic City,51.94,17.59,28-03-2023 20:38,User_435,Driver_271
b59c2d19,U1061,D2024,Koramangala,Electronic City,92.33,10.44,17-06-2023 19:53,User_61,Driver_24
6c4ebb71,U1228,D2164,HSR,Marathahalli,243.3,3.59,22-06-2023 02:36,User_228,Driver_164
c902087a,U1096,D2093,HSR,Marathahalli,48.88,16.73,20-01-2023 02:06,User_96,Driver_93
6c7424d3,U1370,D2199,MG Road,Jayanagar,208.02,8.91,16-01-2023 02:42,User_370,Driver_199
4fa95e8b,U1236,D2052,Koramangala,BTM,216.13,13.35,03-02-2023 07:05,User_236,Driver_52
775c4de3,U1107,D2096,Indiranagar,Jayanagar,85.54,2.93,02-04-2023 19:33,User_107,Driver_96
c5c3b683,U1086,D2154,HSR,Marathahalli,53.86,7.33,20-04-2023 15:11,User_86,Driver_154
68430a3f,U1014,D2062,Whitefield,Hebbal,175.2,7.69,01-06-2023 02:28,User_14,Driver_62
42e0f941,U1151,D2147,MG Road,Marathahalli,256.58,3.68,04-05-2023 22:57,User_151,Driver_147
732924b1,U1446,D2172,MG Road,BTM,220.29,5.92,07-03-2023 13:13,User_446,Driver_172
6f42d4c8,U1210,D2245,MG Road,Marathahalli,238.74,2.84,19-04-2023 00:06,User_210,Driver_245
e066c572,U1394,D2149,HSR,Electronic City,46.2,6.26,19-06-2023 11:03,User_394,Driver_149
38bdaf6d,U1285,D2075,MG Road,Electronic City,239.81,7.31,17-01-2023 03:39,User_285,Driver_75
7bb6db72,U1354,D2261,Koramangala,BTM,261.92,5.89,28-05-2023 11:01,User_354,Driver_261
6.29E+08,U1381,D2216,Indiranagar,BTM,84.95,15.71,18-02-2023 19:08,User_381,Driver_216
24a8d57f,U1497,D2048,MG Road,Jayanagar,295.07,16.4,25-01-2023 01:37,User_497,Driver_48
638543c9,U1002,D2196,Whitefield,Marathahalli,77.8,8.5,03-04-2023 21:36,User_2,Driver_196
fd60de8e,U1424,D2288,Whitefield,Marathahalli,160.94,17.29,29-04-2023 18:18,User_424,Driver_288
f0814d1d,U1199,D2099,MG Road,Marathahalli,144.09,19.8,09-04-2023 21:00,User_199,Driver_99
6bc2888d,U1072,D2015,MG Road,Hebbal,182.87,17.37,22-03-2023 14:32,User_72,Driver_15
b7357f1d,U1230,D2236,HSR,Electronic City,240.75,16.84,08-02-2023 01:04,User_230,Driver_236
6f19b604,U1371,D2031,MG Road,Marathahalli,125.32,7.04,15-01-2023 14:50,User_371,Driver_31
6be0fba2,U1366,D2134,HSR,Marathahalli,187.09,11.23,14-02-2023 01:08,User_366,Driver_134
fa07e7bf,U1387,D2145,Koramangala,BTM,80.41,5.24,05-01-2023 01:59,User_387,Driver_145
d177d8ee,U1430,D2076,HSR,Electronic City,271.9,17.68,11-06-2023 11:17,User_430,Driver_76
f573151c,U1477,D2143,Koramangala,Marathahalli,134.29,6.54,14-01-2023 01:45,User_477,Driver_143
4dc0e22e,U1407,D2235,MG Road,Hebbal,41.43,16.9,09-03-2023 05:39,User_407,Driver_235
3248d8e3,U1498,D2016,Whitefield,Marathahalli,138.5,11.03,28-02-2023 03:09,User_498,Driver_16
cd362caa,U1302,D2237,Whitefield,BTM,73.51,14.73,27-05-2023 23:05,User_302,Driver_237
a533ba9c,U1451,D2219,Indiranagar,BTM,298.13,13.21,04-01-2023 15:55,User_451,Driver_219
464de06a,U1433,D2035,Koramangala,Electronic City,173.37,12.88,19-05-2023 22:51,User_433,Driver_35
93fc6aed,U1466,D2264,MG Road,Hebbal,240.28,8.84,12-05-2023 19:39,User_466,Driver_264
031c9b15,U1181,D2006,Koramangala,Electronic City,251.45,10.53,19-06-2023 00:02,User_181,Driver_6
20a3faa8,U1019,D2062,Koramangala,Hebbal,51.21,5.76,05-02-2023 05:35,User_19,Driver_62
09656cd0,U1059,D2225,HSR,Electronic City,249.62,9.4,20-05-2023 20:56,User_59,Driver_225
00fd4944,U1033,D2188,Indiranagar,Hebbal,206.83,2.11,10-02-2023 14:12,User_33,Driver_188
5981a596,U1264,D2164,Indiranagar,Marathahalli,144.01,8.24,17-01-2023 17:51,User_264,Driver_164
b2bd267c,U1153,D2209,Koramangala,Marathahalli,180.88,18,10-03-2023 10:19,User_153,Driver_209
daedbe87,U1407,D2150,Whitefield,Jayanagar,83.15,19.89,19-02-2023 08:04,User_407,Driver_150
f3f4ba0d,U1292,D2224,HSR,Hebbal,192.36,15.23,27-06-2023 00:57,User_292,Driver_224
8ec51b62,U1449,D2214,HSR,Marathahalli,55.39,11.52,27-03-2023 16:07,User_449,Driver_214
7c81b43c,U1294,D2040,Whitefield,Marathahalli,123.52,2.28,05-05-2023 08:05,User_294,Driver_40
dba19405,U1352,D2195,MG Road,BTM,142.5,7.51,11-03-2023 17:08,User_352,Driver_195
b401e769,U1416,D2117,Koramangala,Hebbal,47.77,14.8,14-05-2023 08:59,User_416,Driver_117
56f58a8c,U1298,D2138,MG Road,Jayanagar,203.26,6.82,01-03-2023 11:45,User_298,Driver_138
fb918ddd,U1315,D2098,Indiranagar,Jayanagar,288.5,7.25,23-04-2023 12:40,User_315,Driver_98
d5fcb900,U1161,D2276,MG Road,Marathahalli,155.36,16.57,11-03-2023 11:04,User_161,Driver_276
df4b4721,U1095,D2238,Koramangala,Jayanagar,44.72,13.61,19-03-2023 22:49,User_95,Driver_238
6a0fc042,U1258,D2039,HSR,Marathahalli,54.27,19.95,01-05-2023 12:14,User_258,Driver_39
c7e1f651,U1311,D2089,Indiranagar,Hebbal,53.09,10.06,05-04-2023 21:46,User_311,Driver_89
cfc2e824,U1417,D2269,Koramangala,Hebbal,257.13,4.49,19-01-2023 05:10,User_417,Driver_269
ec1c9932,U1197,D2031,Koramangala,Jayanagar,112.52,13.55,04-01-2023 17:57,User_197,Driver_31
f0fbbf6d,U1065,D2077,Koramangala,Jayanagar,36.49,5.09,10-03-2023 03:00,User_65,Driver_77
675f37f2,U1399,D2198,Indiranagar,Jayanagar,48.6,7.01,17-05-2023 13:02,User_399,Driver_198
61f694e5,U1492,D2025,MG Road,Jayanagar,245.79,17.59,10-01-2023 14:05,User_492,Driver_25
6422764d,U1161,D2223,Koramangala,Electronic City,229.41,10.91,24-05-2023 05:50,User_161,Driver_223
40fb62e9,U1440,D2237,HSR,Electronic City,151.56,17.24,13-02-2023 13:22,User_440,Driver_237
a7df34a9,U1164,D2004,Whitefield,Marathahalli,196.07,10.55,23-04-2023 15:02,User_164,Driver_4
52fed74d,U1242,D2196,Koramangala,Jayanagar,142.76,12.54,23-02-2023 20:26,User_242,Driver_196
28292d2c,U1419,D2108,Whitefield,Marathahalli,157.08,12.23,23-01-2023 09:16,User_419,Driver_108
fa8bffbe,U1137,D2078,HSR,Jayanagar,280.18,19.05,08-05-2023 01:25,User_137,Driver_78
00fd4944,U1033,D2188,Indiranagar,Hebbal,206.83,2.11,10-02-2023 14:12,User_33,Driver_188
dcf73b84,U1196,D2236,Indiranagar,Jayanagar,127.31,19.52,03-04-2023 09:28,User_196,Driver_236
4.66E+14,U1176,D2258,HSR,Hebbal,147.95,18.18,16-05-2023 13:16,User_176,Driver_258
7747a21e,U1077,D2122,Indiranagar,Jayanagar,257.14,7.14,18-05-2023 17:12,User_77,Driver_122
cd83c59d,U1394,D2035,Koramangala,BTM,35.97,17.61,04-01-2023 18:19,User_394,Driver_35
de6a73ec,U1196,D2121,Koramangala,Marathahalli,214.96,14.1,31-03-2023 06:07,User_196,Driver_121
c8d1442a,U1414,D2049,Indiranagar,Jayanagar,71.25,19.81,08-06-2023 13:28,User_414,Driver_49
f2d59a52,U1409,D2025,Koramangala,Electronic City,238.96,16.88,21-03-2023 22:07,User_409,Driver_25
3dddb81e,U1478,D2152,Koramangala,BTM,275.76,5.65,14-05-2023 16:38,User_478,Driver_152
86763227,U1401,D2014,MG Road,Hebbal,205.31,16.15,23-03-2023 04:53,User_401,Driver_14
da097b8c,U1337,D2246,HSR,BTM,46.08,3.01,20-04-2023 07:51,User_337,Driver_246
a135ddb8,U1170,D2170,MG Road,Marathahalli,57.63,11.63,10-03-2023 17:23,User_170,Driver_170
8c369129,U1074,D2210,Koramangala,Electronic City,82.33,18.79,12-01-2023 15:57,User_74,Driver_210
3b99b156,U1488,D2108,Indiranagar,Hebbal,259.43,15.94,26-01-2023 04:38,User_488,Driver_108
ef957501,U1116,D2088,Whitefield,Jayanagar,47.89,6.34,04-04-2023 11:26,User_116,Driver_88
5339cd22,U1336,D2099,MG Road,BTM,121.89,10.31,05-04-2023 23:44,User_336,Driver_99
ef20d88d,U1162,D2049,Koramangala,BTM,269.51,10.07,23-01-2023 22:41,User_162,Driver_49
97d766a9,U1292,D2086,Indiranagar,Jayanagar,151.32,13.97,17-03-2023 17:02,User_292,Driver_86
a9e38181,U1373,D2174,MG Road,Jayanagar,253.54,7.06,02-01-2023 05:13,User_373,Driver_174
5.54E+06,U1212,D2133,MG Road,BTM,269.1,6.59,15-02-2023 15:29,User_212,Driver_133
32c01e1d,U1464,D2032,Koramangala,Marathahalli,36.67,13.67,18-05-2023 07:52,User_464,Driver_32
1beb1ddc,U1219,D2139,Koramangala,Electronic City,44.77,6.28,28-01-2023 16:08,User_219,Driver_139
18629178,U1393,D2282,HSR,Marathahalli,57.74,7.99,21-05-2023 06:26,User_393,Driver_282
2a8f2000,U1135,D2267,Koramangala,Hebbal,107.86,4.68,09-06-2023 18:57,User_135,Driver_267
fedad7b6,U1390,D2137,Indiranagar,Electronic City,200.69,4.24,09-02-2023 11:12,User_390,Driver_137
67b8b379,U1403,D2215,MG Road,Jayanagar,76.79,13.33,05-02-2023 21:14,User_403,Driver_215
45ccd3ae,U1309,D2179,Indiranagar,Hebbal,215.5,11.44,26-01-2023 17:54,User_309,Driver_179
f41fc18a,U1127,D2086,Koramangala,Jayanagar,78.89,6.1,27-01-2023 03:18,User_127,Driver_86
3f66fb4b,U1365,D2070,Koramangala,BTM,68.97,15.95,26-05-2023 12:15,User_365,Driver_70
617e1abb,U1340,D2164,Indiranagar,BTM,223.44,13.74,26-01-2023 07:10,User_340,Driver_164
6d0e003a,U1176,D2255,Indiranagar,Electronic City,249.39,12.52,13-03-2023 11:12,User_176,Driver_255
f6d5a3ff,U1286,D2139,MG Road,Electronic City,107.63,18.41,17-06-2023 03:58,User_286,Driver_139
b6b0b2fb,U1420,D2209,MG Road,Jayanagar,60.96,7.95,15-04-2023 06:41,User_420,Driver_209
03cf6cdb,U1420,D2049,Whitefield,Hebbal,242.46,5.92,07-01-2023 08:31,User_420,Driver_49
8bfc5acc,U1048,D2204,Koramangala,BTM,202.83,9.76,03-04-2023 12:22,User_48,Driver_204
